Date : 2024-03-16 00:24:48
Directory : e:\VSCODE\WORK\bitcoinetf.org
Total : 682 files,  65808 codes, 1069 comments, 9731 blanks, all 76608 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\widgets\layouts                                                                                              |         14 |      2,974 |         24 |        432 |      3,430 |
| src\widgets\layouts\w-aside                                                                                      |          2 |        713 |          2 |        119 |        834 |
| src\widgets\layouts\w-header                                                                                     |          2 |        720 |          1 |         80 |        801 |
| src\widgets\layouts\w-header-auth                                                                                |          2 |        284 |          1 |         44 |        329 |
| src\widgets\layouts\w-header-dark                                                                                |          2 |        364 |          4 |         53 |        421 |
| src\widgets\layouts\w-header-dark-launch                                                                         |          2 |        365 |         16 |         55 |        436 |
| src\widgets\layouts\w-header-site                                                                                |          2 |        281 |          0 |         43 |        324 |
| src\widgets\layouts\w-menu-bottom                                                                                |          2 |        247 |          0 |         38 |        285 |
| src\widgets\w-activity                                                                                           |          2 |        153 |          1 |         32 |        186 |
| src\widgets\w-asset                                                                                              |          2 |        296 |         15 |         60 |        371 |
| src\widgets\w-bonus                                                                                              |          2 |        340 |          0 |         51 |        391 |
| src\widgets\w-buy-shares                                                                                         |          2 |        678 |          2 |         93 |        773 |
| src\widgets\w-buy-shares-payment                                                                                 |          2 |        797 |          0 |         55 |        852 |
| src\widgets\w-buy-shares-payment-short                                                                           |          2 |        817 |          0 |         55 |        872 |
| src\widgets\w-buy-shares-payment-short-new                                                                       |          2 |        850 |          6 |         77 |        933 |
| src\widgets\w-chart-buy-shares                                                                                   |          2 |        507 |         24 |         66 |        597 |
| src\widgets\w-chart-dividends                                                                                    |          2 |        466 |         34 |         68 |        568 |
| src\widgets\w-chart-earmings                                                                                     |          2 |        419 |          4 |         56 |        479 |
| src\widgets\w-chart-fund                                                                                         |          2 |        439 |         41 |         73 |        553 |
| src\widgets\w-chart-portfolio                                                                                    |          2 |        308 |         10 |         50 |        368 |
| src\widgets\w-chart-protection                                                                                   |          2 |        366 |          1 |         49 |        416 |
| src\widgets\w-display-currency                                                                                   |          2 |         84 |          0 |         11 |         95 |
| src\widgets\w-dividends                                                                                          |          2 |        640 |          1 |         99 |        740 |
| src\widgets\w-earnings                                                                                           |          2 |        319 |          6 |         28 |        353 |
| src\widgets\w-fund                                                                                               |          2 |         33 |          0 |          8 |         41 |
| src\widgets\w-news                                                                                               |          2 |        129 |          2 |         20 |        151 |
| src\widgets\w-onboarding                                                                                         |          1 |        228 |          0 |         38 |        266 |
| src\widgets\w-personal-details                                                                                   |          2 |        141 |          0 |         24 |        165 |
| src\widgets\w-portfolio                                                                                          |          2 |        129 |         17 |         20 |        166 |
| src\widgets\w-protection                                                                                         |          2 |        201 |         24 |         25 |        250 |
| src\widgets\w-purchases                                                                                          |          2 |        258 |         53 |         46 |        357 |
| src\widgets\w-referrals                                                                                          |          2 |        538 |          1 |         88 |        627 |
| src\widgets\w-shareholders                                                                                       |          2 |        131 |          8 |         12 |        151 |
| src\widgets\w-shareholders-stats                                                                                 |          2 |         40 |          4 |          8 |         52 |
| src\widgets\w-statements                                                                                         |          2 |        107 |          0 |         18 |        125 |
| src\widgets\w-theme                                                                                              |          2 |         59 |          0 |         11 |         70 |
| src\widgets\w-top-shareholders                                                                                   |          2 |        141 |          4 |         23 |        168 |
| src\widgets\w-trades                                                                                             |          2 |        204 |          1 |         41 |        246 |
| src\widgets\w-wallet                                                                                             |          2 |        162 |          0 |         16 |        178 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\VSCODE\WORK\bitcoinetf.org\.eslintrc.js                                                                       | JavaScript         |         37 |          0 |          1 |         38 |
| e:\VSCODE\WORK\bitcoinetf.org\.gitlab-ci.yml                                                                     | YAML               |        193 |          1 |         29 |        223 |
| e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\1-secret.yaml                                                      | YAML               |          9 |          0 |          0 |          9 |
| e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\38-app.yaml                                                        | YAML               |         64 |          0 |          1 |         65 |
| e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\40-hpa.yaml                                                        | YAML               |         24 |          0 |          0 |         24 |
| e:\VSCODE\WORK\bitcoinetf.org\.helm\templates\80-ingress.yaml                                                    | YAML               |         35 |          0 |          0 |         35 |
| e:\VSCODE\WORK\bitcoinetf.org\.helm\values.yaml                                                                  | YAML               |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\.prettierrc                                                                        | JSON               |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\.stylelintrc.js                                                                    | JavaScript         |        657 |          0 |          1 |        658 |
| e:\VSCODE\WORK\bitcoinetf.org\FUND.md                                                                            | Markdown           |          0 |          0 |          1 |          1 |
| e:\VSCODE\WORK\bitcoinetf.org\README.md                                                                          | Markdown           |        116 |          0 |         58 |        174 |
| e:\VSCODE\WORK\bitcoinetf.org\app.vue                                                                            | Vue                |        155 |          0 |         33 |        188 |
| e:\VSCODE\WORK\bitcoinetf.org\assets\countrylist.json                                                            | JSON               |        137 |          0 |          1 |        138 |
| e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\dist\icons.scss                                                 | SCSS               |      2,830 |          4 |        302 |      3,136 |
| e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\dist\icons.svg                                                  | SVG                |        453 |          0 |          1 |        454 |
| e:\VSCODE\WORK\bitcoinetf.org\assets\fonts\icons\sass-template.hbs                                               | Handlebars         |         62 |          0 |         10 |         72 |
| e:\VSCODE\WORK\bitcoinetf.org\composables\useMediaDevice.ts                                                      | TypeScript         |         24 |          0 |          8 |         32 |
| e:\VSCODE\WORK\bitcoinetf.org\composables\useNotification.ts                                                     | TypeScript         |         41 |          0 |          8 |         49 |
| e:\VSCODE\WORK\bitcoinetf.org\error.vue                                                                          | Vue                |        160 |          0 |         38 |        198 |
| e:\VSCODE\WORK\bitcoinetf.org\modules\fontagon.mjs                                                               | JavaScript         |         74 |          0 |         15 |         89 |
| e:\VSCODE\WORK\bitcoinetf.org\modules\iconica.mjs                                                                | JavaScript         |         47 |          0 |         17 |         64 |
| e:\VSCODE\WORK\bitcoinetf.org\nuxt.config.ts                                                                     | TypeScript         |        239 |         24 |          7 |        270 |
| e:\VSCODE\WORK\bitcoinetf.org\package.json                                                                       | JSON               |         84 |          0 |          1 |         85 |
| e:\VSCODE\WORK\bitcoinetf.org\pnpm-lock.yaml                                                                     | YAML               |     11,788 |          0 |      1,699 |     13,487 |
| e:\VSCODE\WORK\bitcoinetf.org\postcss.config.js                                                                  | JavaScript         |          6 |          1 |          1 |          8 |
| e:\VSCODE\WORK\bitcoinetf.org\public\.well-known\nostr.json                                                      | JSON               |          6 |          0 |          0 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\baa.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bft.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\boa.svg                                                           | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bot.svg                                                           | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\brf.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\bst.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\fba.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\sba.svg                                                           | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\usdt.svg                                                          | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\chart\vault.svg                                                         | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\1.svg                                                          | SVG                |         15 |          0 |          1 |         16 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\2.svg                                                          | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\3.svg                                                          | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\4.svg                                                          | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\5.svg                                                          | SVG                |          8 |          0 |          1 |          9 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\dealtype\6.svg                                                          | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\description\business-insider.svg                                        | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\description\coindesk.svg                                                | SVG                |         22 |          0 |          1 |         23 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\description\forbes.svg                                                  | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\description\techcrunch.svg                                              | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\emails\chevron-right.svg                                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\browserconfig.xml                                              | XML                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\safari-pinned-tab.svg                                          | SVG                |         39 |          0 |          1 |         40 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\favicons\site.webmanifest                                               | JSON               |         19 |          0 |          1 |         20 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\alpha.svg                                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-baa.svg                                            | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-boa.svg                                            | SVG                |         18 |          0 |          1 |         19 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-brf.svg                                            | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-fba.svg                                            | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-sba.svg                                            | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-usd.svg                                            | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\asset-vault.svg                                          | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\bitcoin-font.svg                                         | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\bitcoin-full.svg                                         | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\bitcoin.svg                                              | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\btc-dark-logo.svg                                        | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\btc-lightning.svg                                        | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\camera.svg                                               | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\comment.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\copy.svg                                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\facebook-circle.svg                                      | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\facebook.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\fk.svg                                                   | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\flags\au.svg                                             | SVG                |         14 |          0 |          1 |         15 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\flags\ru.svg                                             | SVG                |         14 |          0 |          1 |         15 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\folder.svg                                               | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\google-pay.svg                                           | SVG                |          9 |          0 |          1 |         10 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\google.svg                                               | SVG                |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\landingshield.svg                                        | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\landingtimer.svg                                         | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\langindrocket.svg                                        | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\logo-white.svg                                           | SVG                |         25 |          0 |          1 |         26 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\mail-shiny.svg                                           | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\mail.svg                                                 | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\mastercard.svg                                           | SVG                |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\metamask.svg                                             | SVG                |         14 |          0 |          1 |         15 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\mir.svg                                                  | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\piastrix.svg                                             | SVG                |         39 |          0 |          1 |         40 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\raiffeisen.svg                                           | SVG                |          5 |          0 |          1 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\sber.svg                                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\sbp.svg                                                  | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\star-half.svg                                            | SVG                |         23 |          0 |          1 |         24 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\star.svg                                                 | SVG                |         17 |          0 |          1 |         18 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\telegram.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\telegram2.svg                                            | SVG                |         13 |          0 |          1 |         14 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\tinkoff.svg                                              | SVG                |          5 |          0 |          1 |          6 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\tron.svg                                                 | SVG                |         19 |          0 |          1 |         20 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\twitter.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\usdant.svg                                               | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\usdt-trc20.svg                                           | SVG                |         19 |          0 |          1 |         20 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\usdt.svg                                                 | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\usdttron.svg                                             | SVG                |         12 |          0 |          1 |         13 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\visa.svg                                                 | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\visawhite.svg                                            | SVG                |         10 |          0 |          1 |         11 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\vk.svg                                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\vtb.svg                                                  | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\walletConnect.svg                                        | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\whatsApp.svg                                             | SVG                |         24 |          0 |          1 |         25 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\colorful\yoomoney.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\check-mark.svg                                        | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\close.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\cross.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\edit.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\favorite-filled.svg                                   | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\favorite.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\filter.svg                                            | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\maximize.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\menu.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\minimize.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\more.svg                                              | SVG                |         17 |          0 |          1 |         18 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\play-filled.svg                                       | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\play-outline.svg                                      | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\play.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\player-pause.svg                                      | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\plus.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\program.svg                                           | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\resizer.svg                                           | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\settings.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\share-arrow.svg                                       | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\share.svg                                             | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\skip-left.svg                                         | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\skip-right.svg                                        | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\sort.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\trash.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\volume-off.svg                                        | SVG                |         17 |          0 |          1 |         18 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\volume-on.svg                                         | SVG                |         17 |          0 |          1 |         18 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\action\watch-next.svg                                        | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\analytics.svg                                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\apple-pay.svg                                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\apple.svg                                                    | SVG                |         11 |          0 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\bit.svg                                                      | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\bitcoin-b.svg                                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\blog.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\btc-uni.svg                                                  | SVG                |          5 |          0 |          2 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\chevron-bottom.svg                                           | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\chevron-left.svg                                             | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\chevron-light-bottom.svg                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\chevron-right.svg                                            | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\chevron-top.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\copy.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\credit-card.svg                                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\earnings.svg                                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\eye-crossed.svg                                              | SVG                |         14 |          0 |          1 |         15 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\eye.svg                                                      | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\facebook-black.svg                                           | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\facebook.svg                                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\file.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\info.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\instagram-black.svg                                          | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\learn.svg                                                    | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\link.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\linkedin-black.svg                                           | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\lock.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\logout.svg                                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\mail-light.svg                                               | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\mail.svg                                                     | SVG                |         10 |          1 |          1 |         12 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\medium.svg                                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\menu.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\message.svg                                                  | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\minus.svg                                                    | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\more.svg                                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\arrow-bottom.svg                                  | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\arrow-left-white.svg                              | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\arrow-left.svg                                    | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\arrow-right.svg                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\arrow-top.svg                                     | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\chevron-bottom.svg                                | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\chevron-left.svg                                  | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\chevron-right.svg                                 | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\chevron-top.svg                                   | SVG                |          3 |          0 |          1 |          4 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\download-order.svg                                | SVG                |          4 |          0 |          1 |          5 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\download-pause.svg                                | SVG                |          7 |          0 |          1 |          8 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\download-stoped.svg                               | SVG                |          6 |          0 |          1 |          7 |
| e:\VSCODE\WORK\bitcoinetf.org\public\img\icons\mono\navigation\download.svg                                      | SVG                |          4 |          0 |          1 |          5 |
